Year,Activity,Sex,Age,Fatality,Time,Day,Month,Destination
2013,Snorkeling,M,74,Y,Morning,Friday,October,"Eastern Cape Province, SOUTH AFRICA"
2013,Scuba diving,M,55,N,Morning,Tuesday,October,"Western Australia, AUSTRALIA"
2013,Surfing,M,45,N,Morning,Sunday,October,"California, USA"
2013,Wading,M,12,N,Afternoon,Thursday,October,"Florida, USA"
2013,Surfing,M,50,N,Morning,Sunday,September,"Florida, USA"
2013,Scuba diving,M,27,N,Morning,Sunday,September,"Southern District, ISRAEL"
2013,Standing,M,7,N,Morning,Wednesday,September,"Florida, USA"
2013,Swimming,M,45,N,Afternoon,Saturday,September,"Florida, USA"
2013,Swimming,M,21,N,Afternoon,Saturday,September,"Florida, USA"
2013,Surfing,F,13,N,Afternoon,Thursday,September,"Florida, USA"
2013,Surfing,M,43,N,Afternoon,Saturday,September,"Florida, USA"
2013,Standing,M,25,N,Afternoon,Saturday,September,"Florida, USA"
2013,Swimming,M,17,N,Afternoon,Monday,September,"Florida, USA"
2013,Fishing,M,9,N,Afternoon,Sunday,September,"Florida, USA"
2013,Fishing,M,50,N,Night,Monday,August,"Bay of Biscay, FRANCE"
2013,Boogie boarding,F,11,N,Evening,Sunday,August,"Florida, USA"
2013,Surfing,M,16,N,Afternoon,Sunday,August,"Hawaii, USA"
2013,Snorkeling,F,20,Y,Afternoon,Wednesday,August,"Hawaii, USA"
2013,Kite boarding,F,19,N,Afternoon,Tuesday,August,"Hawaii, USA"
2013,Surfing,M,10,N,Evening,Sunday,August,"South Carolina, USA"
2013,Fishing,M,17,N,Afternoon,Monday,August,"Florida, USA"
2013,Snorkeling,F,56,N,Morning,Wednesday,July,"Hawaii, USA"
2013,Spearfishing,M,40,N,Afternoon,Sunday,July,"Abaco Islands, BAHAMAS"
2013,Surfing,M,18,N,Afternoon,Monday,July,"Hawaii, USA"
2013,Fishing,M,64,N,Afternoon,Sunday,July,"Exuma Islands, BAHAMAS"
2013,Scuba diving,M,50,N,Morning,Sunday,July,"Abaco Islands, BAHAMAS"
2013,Swimming,F,18,Y,Afternoon,Monday,July,"Pernambuco, BRAZIL"
2013,Walking,F,50,N,Afternoon,Friday,July,"Alabama, USA"
2013,Snorkeling,F,15,Y,Afternoon,Monday,July,"Saint-Paul, REUNION"
2013,Wading,F,63,N,Afternoon,Thursday,July,"North Carolina, USA"
2013,Swimming,M,14,N,Afternoon,Tuesday,June,"South Carolina, USA"
2013,Swimming,M,28,N,Afternoon,Tuesday,June,"Hawaii, USA"
2013,Swimming,M,15,N,Afternoon,Monday,June,"Texas, USA"
2013,Boogie boarding,F,10,N,Afternoon,Friday,June,"South Carolina, USA"
